business_age_yrs,sector,monthly_revenue_ksh,monthly_expenses_ksh,num_employees,collateral_value_ksh,requested_loan_ksh,credit_history_score,loan_approved
7,Agriculture,691155,535891.9732233728,43,644167,160268,320,0
7,Manufacturing,157337,59472.95492306856,11,87498,1997735,672,0
4,Agriculture,1259911,824027.5147817966,22,64820,837201,643,0
12,Retail,347069,140968.8614019993,21,214176,234779,613,0
6,Retail,1009436,520841.2259190114,49,500186,206730,810,1
10,Hospitality,1218079,543351.330671565,16,452366,115725,543,1
9,Services,293538,214273.99355628304,7,489492,1355416,466,0
2,Retail,685987,528965.1778884926,14,205041,748361,645,0
5,Agriculture,1845665,1185131.97443878,47,678843,622843,808,1
8,Hospitality,916942,354565.26605836174,17,460337,1823415,687,1
2,Manufacturing,1528349,855927.420049543,42,315139,1270405,776,1
2,Manufacturing,1009913,530080.17304693,10,223165,1722163,569,0
8,Agriculture,584685,232699.61995676896,40,220884,73247,637,0
5,Transport (Boda Boda),1417527,678111.8364639918,45,236584,1660908,314,0
13,Transport (Boda Boda),1445472,444942.59406250354,9,120151,1554384,771,1
11,Retail,500754,327207.0211805348,35,586146,1227888,678,1
5,Hospitality,154633,74105.21550099325,41,707611,1383382,500,0
8,Tech Startup,1016107,472945.99966947536,48,913910,1920230,398,1
12,Hospitality,1525127,667030.9119887787,35,201664,541234,761,1
3,Tech Startup,204064,134858.70650349435,14,615270,1744490,692,0
10,Hospitality,142409,74005.43594710123,32,772838,1220672,395,0
4,Manufacturing,1479933,547080.5086566254,39,973548,1296862,470,1
13,Tech Startup,1233475,951535.6539720028,7,861882,1978434,385,1
12,Services,63585,38925.27607529362,6,881691,817595,639,1
14,Services,1221482,564535.402473782,28,415192,618550,489,1
1,Manufacturing,705440,292029.29053179367,13,579304,452690,658,0
6,Transport (Boda Boda),41959,23792.628973787083,37,228576,1065602,533,0
12,Retail,185838,71388.83534766654,32,593128,168451,412,0
14,Hospitality,459792,196311.7380018501,12,314877,115318,685,1
3,Transport (Boda Boda),436880,163412.10897902068,17,770746,863168,301,0
2,Agriculture,1705723,555621.1450091928,37,431839,319536,684,1
3,Hospitality,197789,73666.00592802546,44,125657,1333743,715,0
7,Services,1139043,387760.6076929975,17,811774,1791093,579,1
5,Agriculture,126081,77762.32973122218,11,110078,1965631,443,0
1,Hospitality,1424104,655643.2868232544,6,51663,1114284,702,0
10,Transport (Boda Boda),1627618,1147064.6368579154,20,658271,264835,788,1
